lno2,       lc,         t2,       ws,     td25,    wd,       hd,    dn
3.20680,    7.67276,    -07.1,    1.5,    -0.4,    053.1,    15,    517
3.81110,    8.22013,     02.0,    3.5,    -0.2,    082.0,    08,    064
3.87536,    7.53155,    -00.7,    3.3,    -0.2,    179.3,    20,    522
4.43438,    7.83992,     01.0,    6.9,    -0.3,    081.7,    11,    558
2.85647,    5.06260,     02.4,    2.1,     0.3,    216.0,    04,    177
4.23120,    8.17245,     04.2,    5.9,     0.3,    214.0,    16,    108
4.11087,    8.24905,     00.8,    1.3,     0.2,    215.0,    08,    162
3.48124,    6.53088,     00.5,    2.1,     0.0,    083.0,    23,    058
4.10099,    8.18702,    -04.0,    0.9,     0.9,    245.9,    16,    513
3.32504,    7.81682,    -03.6,    4.0,     0.0,    043.4,    18,    409
4.75014,    7.62462,     03.8,    2.0,     2.8,    283.1,    20,    543
2.62467,    7.23634,     05.0,    3.5,    -0.1,    062.0,    23,    196
3.99268,    7.98718,    -01.6,    5.3,     0.6,    227.0,    18,    081
3.95316,    7.41156,     03.3,    6.8,     1.0,    197.2,    20,    472
3.89589,    7.91681,    -09.1,    1.6,     0.6,    021.0,    14,    083
5.11500,    7.84463,    -00.1,    1.0,     1.8,    174.0,    18,    050
2.11626,    4.68213,    -07.6,    4.4,     0.1,    066.2,    03,    407
3.71113,    8.21311,     01.1,    9.3,     0.1,    213.9,    17,    481
4.33990,    6.15060,    -00.6,    1.3,     1.2,    337.0,    07,    146
2.00148,    6.29342,     05.6,    4.3,     0.0,    098.0,    01,    211
4.23120,    5.89440,    -01.0,    1.9,     2.7,    164.0,    01,    397
3.96651,    6.57088,     05.5,    0.8,     0.1,    089.0,    06,    206
4.14155,    8.31630,     06.3,    1.2,     1.3,    265.0,    17,    033
4.21065,    7.83003,     09.5,    0.8,     0.1,    110.7,    19,    597
4.54223,    8.26178,     01.0,    3.4,     1.3,    248.0,    08,    043
3.92790,    5.47227,    -03.8,    3.6,     1.9,    076.7,    06,    469
2.93916,    6.53088,    -04.2,    3.8,     0.1,    064.3,    08,    503
2.51770,    7.07750,     04.9,    4.9,    -0.1,    229.0,    11,    126
3.39786,    4.77912,    -03.7,    0.9,    -0.1,    311.0,    02,    513
3.19458,    5.74620,    -06.4,    5.1,    -0.1,    082.0,    06,    118
3.82864,    4.77912,    -01.0,    1.1,     2.3,    291.0,    03,    036
1.33500,    5.47646,    -01.0,    4.4,     0.4,    005.8,    05,    553
4.44852,    7.87131,     05.9,    1.3,    -0.1,    085.0,    09,    184
3.71601,    7.19519,    -02.5,    5.0,     0.0,    066.3,    22,    427
1.79176,    4.89035,    -04.1,    6.3,    -0.1,    045.1,    06,    455
4.75617,    7.82724,    -10.1,    1.7,     0.6,    070.8,    07,    443
3.88773,    5.71043,    -02.1,    1.0,     0.5,    211.0,    06,    055
2.95491,    4.80402,     02.8,    5.0,    -0.1,    080.0,    04,    186
4.31482,    7.93164,     14.2,    8.1,    -2.1,    209.1,    14,    577
4.12066,    8.17527,    -03.9,    2.8,     0.3,    052.4,    16,    486
3.37759,    5.76205,     00.1,    0.4,     0.2,    145.0,    02,    112
3.99083,    7.02909,    -16.2,    2.6,     0.9,    073.0,    22,    091
4.11087,    7.62217,    -03.4,    2.9,     1.7,    213.0,    20,    081
3.01062,    7.17396,    -07.0,    7.8,    -0.1,    049.0,    11,    090
4.10759,    7.54750,    -08.0,    0.3,    -0.2,    289.0,    14,    095
2.54945,    5.52943,    -01.5,    7.5,     0.3,    003.0,    05,    040
1.50408,    5.86079,     06.5,    3.6,     0.1,    049.0,    02,    196
3.57235,    7.32778,    -04.9,    4.6,     0.3,    359.0,    21,    116
4.56331,    8.17780,    -04.2,    1.4,     0.2,    086.0,    16,    101
4.38577,    7.73237,    -05.2,    0.6,     0.1,    091.0,    07,    074
3.44042,    6.79571,    -04.0,    3.7,    -0.2,    056.9,    11,    434
1.72277,    6.06146,    -04.7,    4.8,    -0.3,    044.8,    09,    406
4.29729,    7.63530,     09.5,    1.6,    -5.4,    226.6,    11,    529
3.35341,    7.04925,     02.3,    3.1,     0.7,    225.0,    22,    120
4.33860,    7.67879,     04.1,    4.4,     0.5,    297.1,    10,    473
2.99072,    6.93925,     04.2,    5.5,    -0.4,    238.0,    09,    160
4.23700,    6.33150,    -05.1,    1.6,     1.0,    251.6,    08,    468
4.58190,    8.26256,     03.8,    0.7,    -0.4,    161.0,    08,    191
4.17285,    7.91498,    -03.5,    1.8,     0.2,    222.0,    18,    520
3.56105,    6.39024,     02.0,    0.6,     1.1,    177.0,    07,    139
3.16548,    6.34036,    -04.1,    2.9,    -0.1,    060.6,    08,    433
4.39198,    7.91206,    -05.2,    4.5,    -0.1,    076.0,    09,    120
3.01062,    7.96728,     09.8,    2.2,     0.0,    044.0,    18,    189
4.40672,    7.83637,     08.9,    0.5,    -0.6,    296.0,    15,    184
4.29729,    8.21203,     02.9,    2.2,    -0.1,    073.0,    17,    129
2.64617,    5.44674,     01.6,    2.9,    -0.1,    220.9,    05,    545
3.84588,    7.66763,     00.6,    5.8,     0.0,    042.1,    14,    480
4.62399,    7.59337,    -07.5,    3.2,    -0.2,    059.7,    11,    435
3.68888,    6.52649,    -00.3,    6.1,    -0.2,    068.9,    06,    429
3.79098,    8.31899,     01.6,    2.7,    -0.3,    209.9,    16,    523
3.96081,    7.32712,     09.3,    4.3,    -0.2,    214.1,    21,    582
4.51196,    7.25276,     01.1,    1.4,     1.2,    078.9,    21,    530
3.82647,    7.98480,    -08.8,    2.1,    -0.2,    048.0,    15,    088
4.58802,    6.64509,    -06.8,    1.1,     0.1,    145.8,    24,    444
3.02529,    7.05531,     11.2,    3.3,     2.3,    302.8,    23,    604
3.66356,    7.80344,     04.9,    2.9,     0.4,    189.0,    15,    133
3.48431,    7.61283,     20.3,    4.2,    -3.9,    278.9,    10,    607
2.55723,    7.67555,     06.8,    9.9,    -0.2,    249.0,    15,    160
4.83787,    8.19589,    -04.2,    0.8,     0.4,    247.2,    16,    445
4.30271,    8.13124,     04.1,    6.5,     0.0,    058.1,    09,    576
3.25424,    6.92756,     01.8,    4.2,     0.3,    207.0,    23,    130
3.85862,    7.52348,     03.4,    6.0,     0.2,    191.0,    14,    482
4.21656,    7.00760,    -03.4,    1.5,     1.7,    076.0,    23,    044
4.08261,    8.19616,    -04.1,    0.4,     0.4,    270.5,    17,    401
2.53370,    4.81218,    -06.4,    4.7,     0.4,    075.9,    07,    451
3.61092,    7.61431,     00.9,    3.9,     0.1,    107.0,    19,    065
3.45947,    7.94058,     04.3,    5.6,    -0.9,    064.0,    12,    174
3.23475,    7.43780,     02.1,    1.6,     1.0,    205.0,    20,    178
3.84802,    8.01334,     01.2,    2.3,     0.1,    245.0,    17,    168
3.23868,    4.54329,     06.5,    3.7,     0.0,    080.0,    04,    185
4.23555,    7.97488,    -01.6,    3.5,     0.5,    034.5,    18,    480
2.87356,    7.23634,     01.2,    4.3,     0.0,    064.3,    21,    404
4.41764,    8.25192,     00.0,    3.5,    -0.2,    077.0,    08,    157
4.14155,    7.57147,     08.4,    1.8,    -0.9,    108.0,    13,    191
3.14845,    6.74993,    -02.8,    2.0,    -0.9,    231.8,    10,    504
2.42480,    4.56435,    -03.9,    1.4,    -0.1,    076.8,    04,    521
4.02535,    6.95559,    -07.5,    1.3,     2.3,    236.0,    20,    086
4.21656,    7.59740,     00.3,    0.8,     1.7,    113.3,    22,    483
3.46574,    5.88888,     09.0,    1.0,     0.2,    151.6,    02,    601
2.83321,    5.64191,     04.6,    2.5,     0.7,    229.0,    02,    125
2.44235,    6.41510,     03.6,    4.0,     0.0,    068.2,    24,    573
4.16667,    7.85941,     01.3,    2.2,     0.2,    227.0,    07,    141
4.22244,    5.86363,    -00.6,    0.6,     1.7,    142.0,    01,    079
4.60717,    7.82285,     03.4,    2.3,     0.5,    008.0,    15,    044
1.62924,    5.50533,     01.5,    4.3,     0.2,    156.0,    04,    062
4.30000,    8.19864,     02.4,    3.4,     0.4,    186.0,    16,    148
2.73437,    6.12249,     04.5,    2.9,     0.6,    196.0,    01,    125
4.89933,    7.98071,    -11.6,    3.1,     0.3,    078.8,    09,    444
4.07414,    7.91790,     02.7,    2.5,     0.0,    212.0,    09,    131
4.02356,    7.71423,    -02.1,    3.2,    -0.1,    039.9,    07,    432
4.25135,    7.95893,    -01.7,    3.7,     0.0,    040.8,    15,    431
3.65325,    7.61628,     05.1,    2.9,     1.1,    192.0,    20,    192
4.26549,    5.17615,    -02.7,    2.2,     1.5,    219.0,    03,    153
4.47506,    7.29029,     10.8,    2.3,     0.5,    085.5,    22,    570
3.16969,    7.82084,     18.1,    3.7,    -2.1,    244.0,    16,    568
2.80336,    6.87316,     05.6,    7.0,     0.6,    191.0,    21,    125
3.69387,    7.96207,     07.3,    2.8,     0.7,    317.0,    16,    035
3.88568,    6.92166,     06.4,    0.5,    -2.1,    071.0,    09,    188
4.35414,    7.68340,     03.6,    2.9,    -0.3,    074.0,    10,    187
4.41280,    7.21008,    -01.8,    1.8,     1.1,    002.0,    21,    135
3.08649,    4.84419,     07.7,    3.5,     0.1,    081.8,    04,    589
4.37827,    8.19589,    -03.2,    2.0,     3.0,    211.7,    17,    400
3.87536,    6.86485,     00.8,    1.5,    -0.1,    231.5,    23,    540
4.05352,    7.79194,     08.0,    4.1,    -0.2,    207.6,    13,    585
4.19117,    5.77144,    -00.4,    0.4,     1.9,    240.4,    02,    539
3.10459,    8.21906,     11.6,    5.5,    -2.5,    231.4,    08,    586
4.19117,    7.71244,    -09.9,    2.7,     0.7,    078.0,    21,    119
4.25561,    7.86019,    -04.9,    2.6,    -0.1,    243.1,    09,    481
3.18221,    6.89770,    -01.4,    4.8,    -0.1,    072.0,    23,    057
2.72785,    7.18992,     07.0,    4.1,     0.4,    159.0,    22,    212
4.28496,    7.79975,    -00.8,    0.8,     1.1,    080.0,    18,    113
3.09558,    5.54126,    -01.4,    2.2,     1.7,    212.0,    01,    142
4.39198,    7.94201,    -04.2,    1.3,    -0.2,    240.0,    15,    074
3.24649,    5.20401,     06.7,    1.5,     0.0,    080.5,    02,    592
4.27528,    7.42536,     01.1,    1.5,     2.2,    273.1,    20,    540
2.78501,    6.64379,    -05.7,    1.9,    -0.3,    074.2,    23,    517
3.79549,    7.83003,     06.4,    4.3,    -0.1,    030.4,    13,    397
4.15261,    5.17615,    -01.7,    0.4,     1.1,    183.1,    05,    535
4.07244,    6.53669,    -00.8,    2.0,     0.8,    070.6,    24,    514
4.36055,    7.64588,     05.0,    1.5,    -1.1,    243.2,    14,    527
3.07269,    7.61825,     08.4,    2.8,    -1.1,    133.1,    13,    581
2.79728,    4.62497,    -09.6,    2.9,     0.8,    073.0,    06,    086
3.59731,    7.46851,    -03.5,    0.7,     0.2,    165.1,    20,    520
4.55703,    7.74803,    -04.1,    2.0,    -0.1,    085.0,    15,    099
4.70863,    7.52726,    -06.4,    3.3,     0.0,    060.5,    13,    435
4.31080,    7.88758,    -05.0,    4.7,    -0.1,    047.2,    09,    409
3.59182,    6.80351,    -09.3,    3.6,     0.3,    073.0,    08,    083
4.14472,    7.80098,     08.5,    4.5,    -0.2,    203.2,    19,    591
3.02042,    7.96346,     03.6,    3.2,     1.2,    268.0,    18,    042
3.17388,    6.91473,     04.8,    4.6,     0.2,    199.0,    23,    109
4.30676,    7.80262,    -04.6,    5.7,    -0.2,    081.0,    18,    122
3.81551,    7.51152,     00.4,    3.0,    -0.8,    089.8,    11,    398
2.83908,    7.47022,     10.8,    2.6,    -3.5,    262.0,    12,    203
3.83945,    5.27300,    -13.8,    3.8,     0.2,    079.0,    05,    095
3.85651,    8.14989,     05.4,    3.0,     0.1,    234.0,    15,    131
4.24850,    6.61607,     00.1,    0.4,     2.0,    122.3,    22,    531
2.96527,    6.47851,     04.3,    3.2,     1.1,    218.0,    24,    138
4.53045,    7.59740,     02.6,    1.3,     0.2,    233.0,    12,    050
3.21487,    7.17319,    -06.0,    5.6,    -0.2,    065.5,    22,    408
3.12676,    4.91998,     06.0,    3.9,    -0.1,    072.0,    02,    576
3.50255,    7.23129,     08.0,    3.8,     1.7,    207.9,    22,    583
4.51196,    7.56631,    -05.5,    3.5,    -0.1,    065.1,    12,    436
3.36730,    7.65728,     02.5,    2.5,    -0.2,    060.8,    10,    404
4.42963,    6.65028,    -03.7,    0.5,     1.2,    325.6,    24,    445
4.03954,    8.08887,     15.1,    1.9,    -5.1,    240.7,    09,    599
4.14630,    5.93754,    -07.8,    0.9,     1.0,    111.7,    06,    447
1.97408,    5.43372,     07.0,    4.7,     0.0,    027.5,    02,    593
3.76584,    7.77317,     02.2,    3.7,    -0.7,    211.7,    13,    523
4.01638,    6.39359,    -05.8,    1.2,     1.3,    073.7,    24,    480
3.09104,    7.85516,     06.5,    5.2,    -0.2,    069.0,    19,    196
4.07073,    7.33433,    -14.7,    0.8,     0.0,    212.0,    17,    457
3.94158,    7.64826,     04.8,    4.4,    -0.6,    229.0,    13,    141
3.43076,    7.66200,     03.4,    2.9,     0.6,    023.0,    18,    174
3.62700,    7.72533,    -02.3,    4.1,    -0.1,    061.9,    19,    417
3.87743,    7.46107,    -02.8,    1.4,    -0.1,    243.0,    20,    102
3.05871,    6.21060,     05.9,    3.3,     1.8,    248.0,    24,    041
3.91202,    7.61481,     06.9,    2.7,     0.1,    178.0,    19,    190
3.96651,    5.43808,    -00.9,    1.6,     4.3,    096.0,    06,    049
4.28496,    7.43248,    -10.3,    4.1,    -0.2,    061.6,    12,    459
4.17746,    5.20949,    -12.9,    1.1,     1.6,    219.5,    03,    489
4.26549,    6.75809,    -04.7,    1.6,     0.7,    262.9,    09,    468
4.01096,    6.58203,     02.2,    1.8,     0.1,    064.2,    06,    549
3.15274,    5.82305,     04.6,    4.3,     0.3,    203.0,    01,    127
4.19570,    8.12415,     05.2,    2.8,     0.3,    209.0,    08,    033
3.52930,    4.73620,     02.9,    2.4,     0.6,    080.0,    03,    200
4.38701,    7.89283,    -03.8,    3.0,     0.0,    075.3,    15,    423
2.93386,    7.99564,     12.2,    5.4,    -1.4,    234.0,    17,    203
3.26576,    4.92725,     04.4,    2.2,     0.2,    082.0,    02,    170
2.83321,    5.15329,     03.1,    1.5,     0.0,    179.0,    03,    202
4.13357,    7.78239,     04.8,    6.5,    -1.1,    041.1,    10,    556
3.80444,    7.70841,     02.1,    3.1,     0.0,    079.0,    10,    064
4.12390,    8.23854,    -01.7,    5.4,    -0.1,    058.2,    17,    417
4.75359,    7.82844,     03.6,    0.8,     1.5,    087.7,    19,    529
4.40305,    7.68386,     00.6,    4.7,    -1.2,    058.2,    10,    417
2.71469,    7.70075,     11.5,    7.3,    -2.1,    216.0,    14,    210
2.87920,    5.25750,     04.0,    8.3,     0.3,    218.0,    05,    046
3.34990,    7.97728,     04.9,    2.8,     0.3,    194.0,    17,    126
4.12713,    5.42935,    -07.7,    2.5,     0.9,    352.0,    02,    081
4.49647,    7.27586,    -07.2,    1.3,     1.0,    085.0,    21,    143
3.84802,    7.57610,    -05.5,    5.0,    -0.1,    082.0,    17,    118
3.42426,    7.82164,     16.1,    3.1,    -1.5,    259.3,    17,    563
4.07244,    8.17611,    -02.0,    3.0,     1.3,    222.5,    17,    509
4.33336,    8.14148,    -02.8,    4.0,    -0.3,    079.0,    08,    149
4.26127,    7.53636,    -02.2,    1.7,    -0.7,    250.0,    13,    137
5.23644,    8.16934,    -01.5,    1.9,     3.2,    083.0,    08,    078
4.07414,    8.08672,    -13.6,    3.1,     0.0,    077.0,    08,    096
4.20469,    7.06647,     00.2,    3.0,     1.0,    090.0,    21,    174
3.54385,    7.71065,     15.8,    3.7,    -0.3,    136.4,    16,    595
3.81331,    5.61313,    -04.4,    2.9,     0.3,    074.0,    01,    101
3.17388,    8.05261,     08.0,    6.8,    -1.2,    280.1,    16,    546
4.22244,    7.46566,     06.4,    9.6,     0.6,    264.3,    13,    471
3.87743,    7.78738,     07.5,    8.1,    -0.5,    220.0,    15,    156
4.00186,    7.96555,     01.1,    3.9,     0.0,    078.0,    09,    059
3.23080,    5.99645,     08.6,    2.6,     0.0,    082.0,    05,    600
4.09268,    8.27053,    -05.1,    1.4,    -0.7,    248.3,    16,    516
3.13549,    4.90527,    -08.9,    3.9,     0.4,    078.1,    04,    450
4.20767,    5.97635,    -09.7,    0.8,     0.0,    067.7,    01,    438
4.23700,    7.64826,    -04.1,    2.9,    -0.4,    085.3,    14,    519
3.31419,    7.02554,    -01.6,    2.9,     0.0,    222.2,    22,    509
4.18662,    7.62071,    -00.8,    4.7,    -0.1,    061.4,    12,    417
3.81331,    5.69373,     02.0,    1.2,     0.4,    076.0,    01,    141
4.14472,    7.74414,    -01.3,    4.2,    -0.2,    059.0,    15,    149
2.87356,    6.40688,    -04.1,    2.1,    -0.1,    146.8,    24,    520
5.02651,    7.88080,    -06.9,    2.2,     1.0,    158.0,    07,    148
1.70475,    5.11199,    -04.4,    4.2,    -0.1,    055.0,    04,    119
2.87920,    7.17855,     04.9,    5.0,    -0.6,    076.2,    09,    573
3.72086,    5.09987,     05.8,    3.0,     0.0,    078.0,    03,    184
3.36038,    4.45435,    -02.8,    5.3,     0.4,    067.0,    03,    508
3.81110,    7.65160,     07.2,    1.5,    -0.4,    248.0,    16,    531
3.91602,    5.75257,    -07.4,    0.9,     2.1,    293.0,    11,    093
3.72569,    6.54965,    -09.2,    4.2,    -0.2,    078.8,    06,    408
5.13049,    7.26543,    -01.7,    1.3,     1.4,    114.0,    21,    050
4.90602,    8.19699,    -10.6,    3.4,     0.3,    081.1,    17,    438
3.72569,    5.07517,    -04.8,    0.6,     0.1,    103.7,    02,    520
3.35341,    8.03948,     04.9,    5.1,    -0.7,    338.0,    09,    172
4.31348,    8.13710,     06.4,    2.2,    -2.6,    246.6,    09,    575
2.41591,    6.85435,     01.2,    5.0,     0.0,    065.9,    23,    404
4.50424,    7.51915,     03.0,    3.4,     0.6,    044.1,    20,    528
2.36085,    4.53260,    -06.5,    2.7,     0.0,    077.5,    06,    451
3.48431,    4.85981,    -06.3,    3.1,     0.6,    073.0,    02,    143
4.08429,    7.55538,    -04.2,    5.3,     0.0,    059.0,    15,    426
5.37389,    6.31355,    -13.5,    0.9,     3.0,    082.5,    24,    465
4.16044,    6.31536,    -10.4,    2.5,    -0.2,    062.3,    06,    460
3.88156,    7.52618,    -05.5,    3.0,     1.6,    075.0,    21,    098
4.08092,    7.74803,     06.1,    6.0,     0.1,    180.0,    15,    128
3.23868,    6.93049,     02.6,    2.3,     0.6,    193.0,    23,    163
4.17131,    4.76217,     01.7,    0.3,     1.3,    112.5,    03,    563
5.58237,    7.70481,    -00.2,    0.6,     1.4,    220.0,    12,    079
2.42480,    5.68698,     11.0,    1.2,    -4.1,    286.6,    07,    594
4.31080,    7.63916,    -10.2,    4.2,    -0.2,    058.6,    15,    459
4.32678,    7.67508,     03.2,    1.7,     1.1,    249.0,    14,    052
2.50960,    5.30330,    -00.6,    2.8,     0.0,    076.0,    05,    056
4.38203,    7.15696,     03.3,    1.7,     0.5,    090.0,    22,    191
3.71601,    7.98582,    -02.3,    4.2,    -0.1,    077.0,    18,    399
4.20320,    7.97384,     07.4,    1.7,    -0.2,    165.0,    09,    208
4.31749,    7.74544,     02.2,    6.7,     0.3,    056.6,    10,    470
3.30689,    5.50939,    -01.4,    5.4,     0.5,    088.0,    02,    167
4.01818,    5.70044,     02.7,    1.2,     1.7,    185.0,    01,    180
3.27714,    5.62040,     06.2,    3.5,     0.0,    070.9,    05,    582
3.27336,    7.02909,     04.5,    2.8,     0.2,    075.5,    21,    573
3.92197,    7.93057,    -08.2,    2.6,     0.4,    050.4,    18,    407
4.06044,    7.59488,     04.9,    2.9,    -0.1,    077.0,    11,    170
2.99573,    7.23346,    -02.2,    6.1,    -0.2,    062.9,    21,    418
4.07923,    7.60639,     05.5,    5.4,    -0.6,    054.9,    11,    528
4.17285,    7.85671,     06.3,    3.5,    -0.1,    077.0,    07,    185
4.09101,    7.59085,     07.5,    6.1,    -0.5,    238.0,    14,    162
2.77882,    4.86753,     02.1,    3.0,     0.6,    217.0,    02,    177
4.24850,    8.20303,     03.5,    3.3,    -0.2,    051.9,    16,    576
2.59525,    5.90808,    -08.1,    3.8,    -0.1,    048.5,    01,    456
3.13549,    5.40268,     01.3,    0.9,     0.7,    068.4,    05,    581
3.06805,    6.55393,     03.7,    2.8,     1.1,    241.0,    23,    132
4.10594,    8.00001,     04.3,    4.6,    -0.2,    215.0,    17,    176
3.20680,    7.42476,    -03.2,    4.9,    -0.4,    078.9,    12,    399
4.10099,    7.44366,    -04.5,    5.1,    -0.2,    047.9,    13,    409
3.69883,    7.58426,     10.5,    2.1,     0.5,    214.5,    20,    598
3.28466,    7.78780,     00.0,    2.7,    -0.1,    082.0,    18,    070
3.74950,    7.99934,     04.8,    2.6,     0.3,    194.0,    16,    126
3.81551,    7.08841,     00.7,    1.1,     0.5,    295.0,    22,    114
3.97218,    7.12125,     05.7,    1.5,     1.0,    065.4,    23,    593
4.92435,    8.05769,     02.3,    1.3,     0.5,    152.0,    09,    036
2.89037,    7.76853,     21.1,    4.5,    -3.6,    285.1,    11,    607
3.79549,    7.04141,    -00.7,    2.7,     1.2,    073.0,    22,    072
2.54160,    5.96871,     11.1,    2.0,     0.2,    153.2,    03,    602
2.42480,    6.81892,     07.2,    3.8,     0.0,    058.5,    09,    578
4.32546,    8.18228,     04.1,    2.1,     0.3,    177.0,    08,    127
3.32504,    7.21671,    -00.8,    3.5,     0.3,    056.1,    23,    420
3.97406,    7.78489,     00.7,    2.1,     0.6,    219.9,    07,    551
5.32933,    4.67283,    -14.3,    0.5,     2.3,    257.4,    04,    466
1.74047,    4.31749,     01.7,    2.3,     0.0,    075.0,    03,    064
4.50092,    8.16138,    -02.2,    1.7,     1.1,    069.0,    08,    073
4.34120,    8.22604,    -05.6,    2.5,     0.0,    087.0,    17,    068
3.79098,    7.80221,     02.5,    5.0,     0.1,    135.0,    07,    128
3.83945,    7.17089,    -05.3,    2.6,     0.1,    069.4,    22,    442
4.50314,    7.88833,     03.8,    1.1,     2.2,    034.9,    19,    532
4.36691,    7.65776,     03.0,    1.9,     2.0,    265.0,    19,    540
3.70130,    7.40428,    -01.9,    3.4,    -0.1,    043.1,    21,    431
